PROVINCE	MUNICIPALITY/CITY	BARANGAY	HOUSEHOLD ID	FIRST NAME	MIDDLE NAME	LAST NAME	SEX	AGE	SOCIAL SERVICE / PROGRAM	TYPE OF ASSISTANCE PROVIDED	"SPECIFY (name of skill training, name of training, specific assistance, goods, amount, and others)"	"REMARKS (specify agency, individual, organization who provided the assistance and any other pertinent details)"	DATE RECEIVED (MM/DD/YYYY)
Laguna	Cavinti	Masaya	811	Juan	López	Cruz	Male	33	LIVELIHOOD_ASSISTANCE	Medical Assistance	Medical Kit	DOLE - Regular program. Contact: regional office	08/23/2022
Laguna	Pakil	Palo-Alto	188	María	Gómez	Santos	Male	65	KALAHI	Food Assistance	Food Pack	DSWD - Regular program	03/29/2025
Laguna	Siniloan	San Agustín (Antipolo)	698	James	Gómez	García	Male	45	MEDICAL_SERVICES	Leadership Skills Training	Standard package	DepEd - Emergency response. Contact: main branch	03/02/2022
Laguna	Magdalena	San Isidro	817	Miguel	Cruz	Santos	Male	39	SUPPLEMENTAL_FEEDING	Vaccination	Level 1 support	DepEd - Regular program. Contact: main branch	10/08/2023
Laguna	Los Baños	Maunong	810	María	Santos	Reyes	Female	36	OTHER_PROGRAM	Skills Training	Plumbing	Red Cross - Special initiative	09/23/2023
Laguna	Famy	Paciano Rizal	716	Juan	Santos	Cruz	Female	65	SUPPLEMENTAL_FEEDING	Cash for Training	Standard package	Local Government - Emergency response. Contact: regional office	02/18/2024
Laguna	Siniloan	San Cristóbal	484	Pedro	Santos	Galang	Female	18	DISASTER_RELIEF_ASSISTANCE	Dental Services	Basic assistance	Caritas - Regular program. Contact: regional office	06/27/2021
Laguna	Pangil	San José	450	Miguel	Carn	Cruz	Male	48	OTHER_CAPABILITY_BUILDING_SUPPORT	Vaccination	Enhanced support	Red Cross - Regular program. Contact: main branch	02/27/2024
Laguna	Cavinti	San Cristóbal	523	María	Gómez	Galang	Female	69	LIVELIHOOD_ASSISTANCE	Equipment/School Materials	Books	DSWD - Special initiative	07/17/2022
Laguna	Santa Cruz	San Cristóbal	871	Ana	Carn	Gómez	Female	69	KALAHI	Financial	"PHP 2,000"	DepEd - Regular program. Contact: main branch	02/22/2022
Laguna	Pagsanjan	Mayapa	354	Miguel	Reyes	Pérez	Female	59	KALAHI	Parent Effectiveness Trainings	Standard package	World Vision - Pilot program	07/08/2022
Laguna	Rizal	Masaya	986	Miguel	Pérez	Cruz	Female	51	MEDICAL_SERVICES	Medical Assistance	Wheelchair	DOLE - Pilot program	09/03/2024
Laguna	Los Baños	San Vicente	658	Clara	Santos	Galang	Male	63	SUPPLEMENTAL_FEEDING	Technical Skills Training	Level 1 support	USAID - Special initiative. Contact: local coordinator	08/30/2021
Laguna	Los Baños	Santo Tomás (Calabuso)	597	Ana	Reyes	Santos	Male	57	OTHER_CAPABILITY_BUILDING_SUPPORT	Consultation/Medical Check-Up	"PHP 5,000"	Provincial Government - Pilot program. Contact: regional office	10/11/2024
Laguna	San Pablo	Barangay IV (Poblacion)	100	Ana	Gómez	Pérez	Female	23	LIVELIHOOD_ASSISTANCE	Scholarship Grants	Standard package	USAID - Emergency response	01/01/2025
Laguna	Pangil	Paciano Rizal	616	Pedro	Pérez	Pérez	Female	45	SOCIAL_PENSION	Activity Involvement/Advocacy	Level 1 support	Private Donor - Annual assistance. Contact: main branch	01/21/2025
Laguna	Cabuyao	San Roque	948	Janna	Santos	Pérez	Female	20	SOCIAL_PENSION	Scholarship Grants	Basic assistance	Private Donor - Pilot program. Contact: local coordinator	01/05/2025
Laguna	Famy	Palma	558	Clara	Carn	Santos	Female	48	SOCIAL_PENSION	Financial	"PHP 3,000"	Anonymous Donor - Pilot program. Contact: local coordinator	06/05/2024
Laguna	San Pablo	Looc	556	Ana	Pérez	Santos	Female	33	OTHER_PROGRAM	Activity Involvement/Advocacy	Standard package	Anonymous Donor - Regular program. Contact: local coordinator	02/12/2022
Laguna	Biñan	Barangay III (Poblacion)	278	Ana	Cruz	Santos	Female	34	PWD_ASSISTANCE	Insurance	Level 1 support	Anonymous Donor - Special initiative. Contact: regional office	07/24/2024
Laguna	Pila	Saimsim	693	Janna	Cruz	Pérez	Female	61	KALAHI	Financial	"PHP 3,000"	Community Organization - Annual assistance. Contact: local coordinator	11/08/2023
Laguna	Pangil	Saimsim	699	Pedro	Cruz	Cruz	Female	44	OTHER_PROGRAM	Activity Involvement/Advocacy	Enhanced support	Provincial Government - Annual assistance. Contact: local coordinator	08/27/2024
Laguna	Bay	San Antonio	990	Clara	López	Galang	Female	68	OTHER_PROGRAM	Scholarship Grants	Level 1 support	DepEd - Annual assistance. Contact: main branch	09/09/2024
Laguna	San Pablo	Looc	626	Ana	Cruz	Santos	Male	41	LIVELIHOOD_ASSISTANCE	Consultation/Medical Check-Up	"PHP 5,000"	DA - Annual assistance	12/07/2023
Laguna	Luisiana	Parian	491	Juan	García	Cruz	Female	37	LIVELIHOOD_ASSISTANCE	Skills Training	Sewing	Caritas - Emergency response. Contact: regional office	04/02/2023
Laguna	Victoria	Del Carmen	255	Pedro	Santos	Galang	Male	49	DISASTER_RELIEF_ASSISTANCE	Medical Assistance	Wheelchair	DSWD - Special initiative. Contact: regional office	06/14/2022
Laguna	Calauan	Paciano Rizal	381	Clara	Cruz	Pérez	Male	52	MEDICAL_SERVICES	Medical Assistance	Wheelchair	DOH - Emergency response. Contact: local coordinator	05/15/2022
